defecto_id,proyecto_id,tipo_defecto_id,fase_id,severidad,descripcion,fecha_registro,metadata_extraccion
55,36,20,13,Alta,Usabilidad: Diseño inconsistente en módulo de usuario.,2021-11-15,0
56,38,46,12,Baja,Documentación: Formato incorrecto en módulo de catálogo.,2024-08-01,0
57,38,43,2,Baja,Documentación: Guías incompletas en módulo de API.,2023-06-25,0
58,38,41,3,Baja,Fiabilidad: Estados inconsistentes en módulo de reportes.,2024-05-03,0
59,38,35,6,Media,Portabilidad: Diferencias de runtime en módulo de datos.,2023-11-22,0
60,47,43,13,Baja,Documentación: Guías incompletas en módulo de catálogo.,2021-03-23,0
61,47,1,8,Baja,Funcionalidad: Lógica/algoritmo en módulo de reportes.,2020-04-29,0
62,47,1,3,Baja,Funcionalidad: Lógica/algoritmo en módulo de usuario.,2021-10-01,0
63,47,1,2,Baja,Funcionalidad: Lógica/algoritmo en módulo de API.,2021-06-12,0
64,47,4,8,Media,Funcionalidad: Validación de entradas en módulo de UI.,2021-05-19,0
65,47,51,14,Baja,Otros: Desconocido en módulo de autenticación.,2021-02-09,0
66,47,6,4,Media,Rendimiento: Consultas ineficientes en módulo de autenticación.,2020-08-08,0
67,47,6,10,Baja,Rendimiento: Consultas ineficientes en módulo de catálogo.,2021-07-06,0
68,49,46,1,Media,Documentación: Formato incorrecto en módulo de catálogo.,2024-12-18,0
69,49,42,11,Baja,Documentación: Especificación desactualizada en módulo de usuario.,2024-09-01,0
70,49,30,5,Baja,Mantenibilidad: Falta de pruebas en módulo de pago.,2025-10-12,0
71,49,8,11,Baja,Rendimiento: Bloqueos/contención en módulo de pago.,2024-04-18,0
72,49,17,2,Media,Usabilidad: Accesibilidad en módulo de reportes.,2025-03-08,0
73,52,24,3,Alta,Compatibilidad: Dependencias/bibliotecas en módulo de reportes.,2025-05-29,0
74,52,25,7,Baja,Compatibilidad: Versionado API en módulo de autenticación.,2024-10-08,0
75,52,23,15,Alta,Compatibilidad: Resolución/dispositivo en módulo de UI.,2024-08-04,0
76,52,4,2,Alta,Funcionalidad: Validación de entradas en módulo de catálogo.,2025-03-03,0
77,52,29,10,Media,Mantenibilidad: Nombres pobres en módulo de catálogo.,2025-01-08,0
78,52,31,7,Baja,Mantenibilidad: Acoplamiento alto en módulo de datos.,2024-07-12,0
79,52,49,5,Media,Otros: Infraestructura en módulo de reportes.,2025-04-03,0
80,52,50,7,Media,Otros: Terceros en módulo de reportes.,2024-12-26,0
81,52,51,2,Baja,Otros: Desconocido en módulo de usuario.,2024-09-06,0
82,52,10,10,Baja,Rendimiento: Caching incorrecto en módulo de reportes.,2025-06-08,0
83,52,11,1,Baja,Seguridad: XSS en módulo de usuario.,2025-05-07,0
84,52,15,1,Media,Seguridad: Deserialización peligrosa en módulo de reportes.,2024-10-19,0
85,52,15,7,Alta,Seguridad: Deserialización peligrosa en módulo de usuario.,2025-06-24,0
86,52,19,9,Baja,Usabilidad: Etiquetas/ayuda en módulo de catálogo.,2025-01-23,0
87,52,17,7,Baja,Usabilidad: Accesibilidad en módulo de API.,2024-12-02,0
88,61,38,8,Media,Fiabilidad: Fugas de recursos en módulo de catálogo.,2023-06-12,0
89,61,40,7,Media,Fiabilidad: Reintentos/retornos en módulo de autenticación.,2022-12-31,0
90,61,39,14,Media,Fiabilidad: Time-outs en módulo de datos.,2022-12-25,0
91,61,37,1,Baja,Fiabilidad: Condiciones de carrera en módulo de API.,2023-07-13,0
92,61,1,8,Media,Funcionalidad: Lógica/algoritmo en módulo de reportes.,2023-07-11,0
93,61,2,1,Alta,Funcionalidad: Requisitos mal interpretados en módulo de usuario.,2023-04-10,0
94,61,36,7,Media,Portabilidad: Script deploy en módulo de pago.,2023-02-22,0
95,61,32,15,Alta,Portabilidad: Rutas/FS en módulo de API.,2023-08-06,0
96,61,12,2,Alta,Seguridad: Inyección SQL en módulo de usuario.,2023-06-01,0
97,61,12,6,Alta,Seguridad: Inyección SQL en módulo de UI.,2023-08-20,0
98,61,20,8,Baja,Usabilidad: Diseño inconsistente en módulo de pago.,2023-05-07,0
99,63,40,9,Baja,Fiabilidad: Reintentos/retornos en módulo de catálogo.,2024-09-17,0
100,63,41,5,Baja,Fiabilidad: Estados inconsistentes en módulo de catálogo.,2023-12-09,0
101,63,5,2,Media,Funcionalidad: Cálculo numérico en módulo de pago.,2025-03-04,0
102,63,27,2,Baja,Mantenibilidad: Duplicación/código espagueti en módulo de catálogo.,2024-01-15,0
103,63,29,5,Baja,Mantenibilidad: Nombres pobres en módulo de datos.,2024-05-30,0
104,63,32,4,Baja,Portabilidad: Rutas/FS en módulo de usuario.,2025-05-10,0
105,63,36,7,Baja,Portabilidad: Script deploy en módulo de datos.,2024-05-27,0
106,65,42,12,Media,Documentación: Especificación desactualizada en módulo de pago.,2025-11-11,0
107,65,38,5,Alta,Fiabilidad: Fugas de recursos en módulo de catálogo.,2025-11-23,0
108,65,40,6,Baja,Fiabilidad: Reintentos/retornos en módulo de autenticación.,2025-11-14,0
109,65,2,1,Baja,Funcionalidad: Requisitos mal interpretados en módulo de UI.,2025-11-19,0
110,65,5,8,Baja,Funcionalidad: Cálculo numérico en módulo de reportes.,2025-11-11,0
111,65,29,5,Baja,Mantenibilidad: Nombres pobres en módulo de datos.,2025-11-16,0
112,65,29,3,Baja,Mantenibilidad: Nombres pobres en módulo de pago.,2025-11-03,0
113,65,47,2,Media,Otros: Config. errónea en módulo de API.,2025-10-30,0
114,65,13,2,Baja,Seguridad: Autorización rota en módulo de API.,2025-11-03,0
115,66,24,4,Media,Compatibilidad: Dependencias/bibliotecas en módulo de datos.,2021-03-14,0
116,66,40,6,Media,Fiabilidad: Reintentos/retornos en módulo de datos.,2020-12-10,0
117,66,1,5,Media,Funcionalidad: Lógica/algoritmo en módulo de usuario.,2021-04-22,0
118,66,2,5,Media,Funcionalidad: Requisitos mal interpretados en módulo de reportes.,2021-03-18,0
119,66,4,9,Baja,Funcionalidad: Validación de entradas en módulo de usuario.,2020-12-01,0
120,66,3,5,Media,Funcionalidad: Reglas de negocio en módulo de API.,2021-04-24,0
121,66,28,3,Media,Mantenibilidad: Complejidad ciclomática en módulo de UI.,2021-02-22,0
122,66,10,15,Media,Rendimiento: Caching incorrecto en módulo de UI.,2020-12-19,0
123,66,18,11,Baja,Usabilidad: Flujo confuso en módulo de pago.,2020-10-17,0
124,74,44,5,Baja,Documentación: Comentarios engañosos en módulo de pago.,2025-11-24,0
125,74,39,5,Media,Fiabilidad: Time-outs en módulo de usuario.,2025-11-24,0
126,74,4,6,Baja,Funcionalidad: Validación de entradas en módulo de API.,2025-11-22,0
127,74,4,5,Baja,Funcionalidad: Validación de entradas en módulo de reportes.,2025-11-23,0
128,74,2,8,Alta,Funcionalidad: Requisitos mal interpretados en módulo de autenticación.,2025-11-23,0
129,74,31,6,Media,Mantenibilidad: Acoplamiento alto en módulo de catálogo.,2025-11-23,0
130,74,28,6,Baja,Mantenibilidad: Complejidad ciclomática en módulo de catálogo.,2025-11-22,0
131,74,31,6,Media,Mantenibilidad: Acoplamiento alto en módulo de API.,2025-11-23,0
132,74,49,2,Baja,Otros: Infraestructura en módulo de datos.,2025-11-23,0
133,74,32,9,Baja,Portabilidad: Rutas/FS en módulo de reportes.,2025-11-24,0
134,74,7,11,Alta,Rendimiento: Uso excesivo de CPU en módulo de reportes.,2025-11-22,0
135,74,9,2,Baja,Rendimiento: N+1 queries en módulo de UI.,2025-11-20,0
136,76,37,9,Media,Fiabilidad: Condiciones de carrera en módulo de catálogo.,2025-11-25,0
137,76,3,3,Baja,Funcionalidad: Reglas de negocio en módulo de usuario.,2025-11-25,0
138,76,4,6,Baja,Funcionalidad: Validación de entradas en módulo de UI.,2025-11-25,0
139,76,28,5,Baja,Mantenibilidad: Complejidad ciclomática en módulo de API.,2025-11-25,0
140,76,47,1,Media,Otros: Config. errónea en módulo de reportes.,2025-11-25,0
141,76,13,11,Media,Seguridad: Autorización rota en módulo de usuario.,2025-11-25,0
142,77,30,11,Alta,Mantenibilidad: Falta de pruebas en módulo de catálogo.,2025-10-11,0
143,77,34,14,Media,Portabilidad: Dependencias SO en módulo de datos.,2025-10-10,0
144,77,13,5,Baja,Seguridad: Autorización rota en módulo de autenticación.,2025-10-10,0
145,78,25,2,Baja,Compatibilidad: Versionado API en módulo de autenticación.,2021-09-11,0
146,78,45,12,Baja,Documentación: Falta de ejemplo en módulo de autenticación.,2021-10-28,0
147,78,3,6,Baja,Funcionalidad: Reglas de negocio en módulo de catálogo.,2021-12-15,0
148,78,2,1,Baja,Funcionalidad: Requisitos mal interpretados en módulo de API.,2022-03-10,0
149,78,32,4,Baja,Portabilidad: Rutas/FS en módulo de usuario.,2022-04-15,0
150,78,36,15,Baja,Portabilidad: Script deploy en módulo de autenticación.,2022-04-29,0
151,80,38,11,Media,Fiabilidad: Fugas de recursos en módulo de UI.,2024-09-23,0
152,80,1,2,Media,Funcionalidad: Lógica/algoritmo en módulo de datos.,2024-08-10,0
153,80,4,5,Baja,Funcionalidad: Validación de entradas en módulo de pago.,2023-02-07,0
154,80,1,3,Alta,Funcionalidad: Lógica/algoritmo en módulo de reportes.,2024-05-30,0
155,80,8,7,Alta,Rendimiento: Bloqueos/contención en módulo de API.,2024-10-21,0
156,80,9,4,Media,Rendimiento: N+1 queries en módulo de pago.,2024-11-22,0
157,80,12,9,Media,Seguridad: Inyección SQL en módulo de datos.,2025-05-16,0
158,85,25,14,Baja,Compatibilidad: Versionado API en módulo de UI.,2022-11-15,0
159,85,43,12,Alta,Documentación: Guías incompletas en módulo de datos.,2022-05-10,0
160,85,37,13,Baja,Fiabilidad: Condiciones de carrera en módulo de reportes.,2022-09-27,0
161,85,38,7,Baja,Fiabilidad: Fugas de recursos en módulo de datos.,2022-10-10,0
162,85,5,6,Baja,Funcionalidad: Cálculo numérico en módulo de autenticación.,2022-05-05,0
163,85,4,3,Baja,Funcionalidad: Validación de entradas en módulo de API.,2022-07-18,0
164,85,4,6,Media,Funcionalidad: Validación de entradas en módulo de usuario.,2022-12-02,0
165,85,31,11,Baja,Mantenibilidad: Acoplamiento alto en módulo de pago.,2022-07-05,0
166,85,32,4,Baja,Portabilidad: Rutas/FS en módulo de pago.,2022-05-05,0
167,85,7,10,Baja,Rendimiento: Uso excesivo de CPU en módulo de reportes.,2022-08-31,0
168,85,8,10,Baja,Rendimiento: Bloqueos/contención en módulo de datos.,2022-06-03,0
169,85,7,5,Baja,Rendimiento: Uso excesivo de CPU en módulo de datos.,2022-08-17,0
170,85,17,6,Baja,Usabilidad: Accesibilidad en módulo de API.,2022-10-03,0
171,85,21,11,Media,Usabilidad: Feedback insuficiente en módulo de catálogo.,2022-05-07,0
172,89,26,11,Baja,Compatibilidad: Localización en módulo de catálogo.,2024-07-02,0
173,89,23,6,Baja,Compatibilidad: Resolución/dispositivo en módulo de reportes.,2024-01-26,0
174,89,46,1,Baja,Documentación: Formato incorrecto en módulo de UI.,2024-04-17,0
175,89,42,12,Baja,Documentación: Especificación desactualizada en módulo de autenticación.,2024-04-06,0
176,89,2,9,Baja,Funcionalidad: Requisitos mal interpretados en módulo de usuario.,2024-04-12,0
177,89,4,6,Alta,Funcionalidad: Validación de entradas en módulo de reportes.,2024-01-23,0
178,89,9,10,Baja,Rendimiento: N+1 queries en módulo de pago.,2024-02-13,0
179,89,8,3,Baja,Rendimiento: Bloqueos/contención en módulo de reportes.,2024-06-24,0
180,89,12,2,Media,Seguridad: Inyección SQL en módulo de pago.,2023-08-20,0
181,89,20,6,Media,Usabilidad: Diseño inconsistente en módulo de usuario.,2024-03-22,0
182,93,36,15,Baja,Portabilidad: Script deploy en módulo de catálogo.,2020-12-06,0
183,93,34,8,Baja,Portabilidad: Dependencias SO en módulo de autenticación.,2021-03-10,0
184,93,33,15,Baja,Portabilidad: Endianness/arqu. en módulo de reportes.,2021-02-13,0
185,93,9,8,Baja,Rendimiento: N+1 queries en módulo de API.,2020-09-22,0
186,95,26,9,Media,Compatibilidad: Localización en módulo de reportes.,2025-08-25,0
187,95,42,8,Baja,Documentación: Especificación desactualizada en módulo de catálogo.,2025-09-03,0
188,95,1,2,Baja,Funcionalidad: Lógica/algoritmo en módulo de API.,2025-11-10,0
189,95,11,5,Media,Seguridad: XSS en módulo de autenticación.,2025-11-08,0
190,95,17,6,Baja,Usabilidad: Accesibilidad en módulo de datos.,2025-09-25,0
191,96,34,3,Baja,Portabilidad: Dependencias SO en módulo de UI.,2020-06-16,0
192,99,23,9,Baja,Compatibilidad: Resolución/dispositivo en módulo de API.,2022-04-07,0
193,99,46,12,Baja,Documentación: Formato incorrecto en módulo de datos.,2022-03-18,0
194,99,44,5,Alta,Documentación: Comentarios engañosos en módulo de reportes.,2022-01-08,0
195,99,44,1,Media,Documentación: Comentarios engañosos en módulo de usuario.,2022-05-16,0
196,99,38,2,Alta,Fiabilidad: Fugas de recursos en módulo de autenticación.,2021-12-07,0
197,99,4,5,Baja,Funcionalidad: Validación de entradas en módulo de UI.,2022-03-12,0
198,99,27,11,Media,Mantenibilidad: Duplicación/código espagueti en módulo de reportes.,2022-03-19,0
199,99,8,10,Baja,Rendimiento: Bloqueos/contención en módulo de catálogo.,2022-06-30,0
200,99,13,4,Media,Seguridad: Autorización rota en módulo de autenticación.,2022-05-31,0
201,99,12,9,Media,Seguridad: Inyección SQL en módulo de reportes.,2022-01-30,0
202,99,19,6,Media,Usabilidad: Etiquetas/ayuda en módulo de autenticación.,2022-03-05,0
203,100,23,4,Baja,Compatibilidad: Resolución/dispositivo en módulo de pago.,2023-08-22,0
204,100,6,6,Alta,Rendimiento: Consultas ineficientes en módulo de autenticación.,2022-10-08,0
205,104,42,5,Baja,Documentación: Especificación desactualizada en módulo de pago.,2024-07-17,0
206,104,3,1,Baja,Funcionalidad: Reglas de negocio en módulo de UI.,2024-06-29,0
207,104,27,5,Media,Mantenibilidad: Duplicación/código espagueti en módulo de datos.,2024-04-28,0
208,104,34,13,Baja,Portabilidad: Dependencias SO en módulo de catálogo.,2024-06-21,0
209,104,18,6,Media,Usabilidad: Flujo confuso en módulo de pago.,2024-05-29,0
210,105,5,5,Alta,Funcionalidad: Cálculo numérico en módulo de API.,2022-01-07,0
211,105,7,3,Baja,Rendimiento: Uso excesivo de CPU en módulo de UI.,2022-05-30,0
212,105,13,1,Media,Seguridad: Autorización rota en módulo de API.,2021-09-30,0
213,106,26,4,Baja,Compatibilidad: Localización en módulo de datos.,2022-11-14,0
214,106,38,9,Media,Fiabilidad: Fugas de recursos en módulo de datos.,2022-06-27,0
215,106,4,3,Baja,Funcionalidad: Validación de entradas en módulo de catálogo.,2022-08-14,0
216,106,1,1,Media,Funcionalidad: Lógica/algoritmo en módulo de UI.,2023-02-02,0
217,106,27,5,Baja,Mantenibilidad: Duplicación/código espagueti en módulo de usuario.,2022-10-20,0
218,106,31,6,Media,Mantenibilidad: Acoplamiento alto en módulo de API.,2022-10-09,0
219,106,50,7,Media,Otros: Terceros en módulo de pago.,2022-12-27,0
220,106,32,5,Baja,Portabilidad: Rutas/FS en módulo de datos.,2022-10-28,0
221,106,35,5,Baja,Portabilidad: Diferencias de runtime en módulo de autenticación.,2022-05-24,0
222,106,32,4,Baja,Portabilidad: Rutas/FS en módulo de reportes.,2022-05-31,0
223,107,32,3,Alta,Portabilidad: Rutas/FS en módulo de UI.,2022-05-15,0
224,111,30,5,Media,Mantenibilidad: Falta de pruebas en módulo de UI.,2023-04-19,0
225,111,29,5,Baja,Mantenibilidad: Nombres pobres en módulo de usuario.,2023-05-26,0
226,111,6,10,Media,Rendimiento: Consultas ineficientes en módulo de usuario.,2023-06-25,0
227,112,44,4,Baja,Documentación: Comentarios engañosos en módulo de UI.,2024-11-18,0
228,112,7,10,Media,Rendimiento: Uso excesivo de CPU en módulo de datos.,2025-09-18,0
229,112,16,3,Alta,Seguridad: XXE en módulo de autenticación.,2024-10-27,0
230,115,38,8,Baja,Fiabilidad: Fugas de recursos en módulo de autenticación.,2025-11-03,0
231,115,40,11,Media,Fiabilidad: Reintentos/retornos en módulo de UI.,2025-09-26,0
232,115,41,15,Baja,Fiabilidad: Estados inconsistentes en módulo de autenticación.,2025-09-22,0
233,115,2,2,Baja,Funcionalidad: Requisitos mal interpretados en módulo de autenticación.,2025-07-14,0
234,115,4,6,Media,Funcionalidad: Validación de entradas en módulo de autenticación.,2025-08-26,0
235,115,49,11,Baja,Otros: Infraestructura en módulo de UI.,2025-10-08,0
236,115,34,15,Media,Portabilidad: Dependencias SO en módulo de usuario.,2025-10-23,0
237,115,7,10,Media,Rendimiento: Uso excesivo de CPU en módulo de API.,2025-06-24,0
238,115,8,3,Alta,Rendimiento: Bloqueos/contención en módulo de pago.,2025-07-18,0
239,115,20,1,Baja,Usabilidad: Diseño inconsistente en módulo de UI.,2025-06-28,0
240,116,46,12,Baja,Documentación: Formato incorrecto en módulo de reportes.,2020-08-01,0
241,118,43,12,Baja,Documentación: Guías incompletas en módulo de API.,2024-02-14,0
242,118,38,13,Media,Fiabilidad: Fugas de recursos en módulo de reportes.,2024-01-01,0
243,118,2,6,Alta,Funcionalidad: Requisitos mal interpretados en módulo de pago.,2024-05-03,0
244,118,4,4,Baja,Funcionalidad: Validación de entradas en módulo de UI.,2024-04-18,0
245,118,2,6,Media,Funcionalidad: Requisitos mal interpretados en módulo de autenticación.,2024-01-26,0
246,118,4,7,Media,Funcionalidad: Validación de entradas en módulo de pago.,2023-10-18,0
247,118,1,8,Baja,Funcionalidad: Lógica/algoritmo en módulo de catálogo.,2024-04-08,0
248,118,29,12,Baja,Mantenibilidad: Nombres pobres en módulo de UI.,2023-08-24,0
249,118,28,2,Baja,Mantenibilidad: Complejidad ciclomática en módulo de reportes.,2023-07-09,0
250,118,27,4,Baja,Mantenibilidad: Duplicación/código espagueti en módulo de UI.,2024-02-16,0
251,118,49,4,Baja,Otros: Infraestructura en módulo de UI.,2023-09-23,0
252,118,35,15,Baja,Portabilidad: Diferencias de runtime en módulo de autenticación.,2023-12-06,0
253,118,35,11,Baja,Portabilidad: Diferencias de runtime en módulo de usuario.,2023-09-28,0
254,118,19,8,Baja,Usabilidad: Etiquetas/ayuda en módulo de reportes.,2023-10-15,0
255,120,23,4,Baja,Compatibilidad: Resolución/dispositivo en módulo de reportes.,2021-08-30,0
256,120,8,10,Media,Rendimiento: Bloqueos/contención en módulo de reportes.,2022-03-14,0
257,125,26,7,Baja,Compatibilidad: Localización en módulo de reportes.,2025-10-26,0
258,125,41,13,Media,Fiabilidad: Estados inconsistentes en módulo de datos.,2025-11-04,0
259,125,5,2,Baja,Funcionalidad: Cálculo numérico en módulo de usuario.,2025-11-19,0
260,125,12,15,Baja,Seguridad: Inyección SQL en módulo de UI.,2025-11-17,0
261,129,25,13,Baja,Compatibilidad: Versionado API en módulo de pago.,2025-01-14,0
262,129,39,8,Baja,Fiabilidad: Time-outs en módulo de UI.,2025-03-02,0
263,129,5,2,Media,Funcionalidad: Cálculo numérico en módulo de reportes.,2025-02-11,0
264,129,36,14,Baja,Portabilidad: Script deploy en módulo de reportes.,2025-03-25,0
265,129,7,5,Media,Rendimiento: Uso excesivo de CPU en módulo de datos.,2025-01-06,0
266,129,17,1,Media,Usabilidad: Accesibilidad en módulo de datos.,2025-02-15,0
267,129,18,2,Media,Usabilidad: Flujo confuso en módulo de usuario.,2025-04-15,0
268,131,41,12,Media,Fiabilidad: Estados inconsistentes en módulo de API.,2020-06-06,0
269,131,2,5,Baja,Funcionalidad: Requisitos mal interpretados en módulo de datos.,2020-12-22,0
270,131,2,6,Media,Funcionalidad: Requisitos mal interpretados en módulo de datos.,2020-07-22,0
271,131,30,12,Baja,Mantenibilidad: Falta de pruebas en módulo de datos.,2020-04-17,0
272,132,45,6,Baja,Documentación: Falta de ejemplo en módulo de catálogo.,2025-04-01,0
273,132,2,6,Baja,Funcionalidad: Requisitos mal interpretados en módulo de reportes.,2024-09-03,0
274,132,1,3,Media,Funcionalidad: Lógica/algoritmo en módulo de pago.,2025-09-03,0
275,132,33,8,Baja,Portabilidad: Endianness/arqu. en módulo de datos.,2024-08-30,0
276,132,32,14,Baja,Portabilidad: Rutas/FS en módulo de autenticación.,2024-09-19,0
277,132,10,2,Baja,Rendimiento: Caching incorrecto en módulo de API.,2024-09-04,0
278,132,7,14,Media,Rendimiento: Uso excesivo de CPU en módulo de datos.,2025-02-18,0
279,132,12,3,Alta,Seguridad: Inyección SQL en módulo de catálogo.,2025-07-29,0
280,133,44,7,Baja,Documentación: Comentarios engañosos en módulo de autenticación.,2023-06-19,0
281,133,31,5,Baja,Mantenibilidad: Acoplamiento alto en módulo de datos.,2022-03-13,0
282,135,37,5,Media,Fiabilidad: Condiciones de carrera en módulo de usuario.,2025-06-30,0
283,135,30,5,Alta,Mantenibilidad: Falta de pruebas en módulo de UI.,2025-06-04,0
284,135,21,2,Baja,Usabilidad: Feedback insuficiente en módulo de pago.,2025-07-29,0
285,136,42,2,Media,Documentación: Especificación desactualizada en módulo de usuario.,2022-11-28,0
286,136,29,8,Media,Mantenibilidad: Nombres pobres en módulo de UI.,2023-09-04,0
287,136,15,11,Baja,Seguridad: Deserialización peligrosa en módulo de UI.,2022-09-03,0
288,137,22,9,Baja,Compatibilidad: Navegador/OS en módulo de UI.,2021-08-06,0
289,137,23,10,Baja,Compatibilidad: Resolución/dispositivo en módulo de usuario.,2021-04-28,0
290,137,22,9,Baja,Compatibilidad: Navegador/OS en módulo de catálogo.,2021-03-24,0
291,137,30,5,Baja,Mantenibilidad: Falta de pruebas en módulo de catálogo.,2021-03-05,0
292,137,34,12,Baja,Portabilidad: Dependencias SO en módulo de datos.,2021-06-24,0
293,137,8,6,Media,Rendimiento: Bloqueos/contención en módulo de API.,2021-06-20,0
294,137,15,7,Media,Seguridad: Deserialización peligrosa en módulo de API.,2021-07-03,0
295,142,40,7,Media,Fiabilidad: Reintentos/retornos en módulo de autenticación.,2023-04-06,0
296,142,38,2,Baja,Fiabilidad: Fugas de recursos en módulo de API.,2023-09-24,0
297,142,48,11,Baja,Otros: Datos de prueba en módulo de API.,2023-04-01,0
298,142,35,13,Baja,Portabilidad: Diferencias de runtime en módulo de UI.,2023-12-15,0
299,142,14,7,Alta,Seguridad: Exposición de datos en módulo de reportes.,2024-02-02,0
300,142,19,11,Baja,Usabilidad: Etiquetas/ayuda en módulo de UI.,2023-09-14,0
301,143,45,1,Media,Documentación: Falta de ejemplo en módulo de reportes.,2025-07-12,0
302,143,36,4,Media,Portabilidad: Script deploy en módulo de autenticación.,2025-04-06,0
303,143,17,6,Baja,Usabilidad: Accesibilidad en módulo de reportes.,2025-06-24,0
304,145,24,5,Media,Compatibilidad: Dependencias/bibliotecas en módulo de reportes.,2025-11-10,0
