tarea_id,nombre_tarea,tipo_tarea,prioridad,completada,fecha_entrega,fecha_completado,catalogo_tareas_id,metadata_extraccion
226,Ajustes post-despliegue,Diseño,Media,1,2024-05-17,2024-05-17,4,0
227,Despliegue QA,Diseño,Alta,0,2024-07-24,,4,0
228,Mantenimiento,Desarrollo,Media,1,2024-07-18,2024-07-22,4,0
229,Integración BD,Mantenimiento,Alta,1,2024-07-21,2024-07-24,4,0
230,Mantenimiento,Mantenimiento,Media,1,2024-06-21,2024-06-26,4,0
231,Diseño de interfaz,Diseño,Media,1,2024-08-13,2024-08-17,4,0
232,Revisión de código,Implementación,Alta,0,2024-06-06,,4,0
233,Revisión de código,Documentación,Alta,0,2024-07-22,,4,0
234,Pruebas funcionales,Mantenimiento,Alta,1,2024-08-18,2024-08-22,4,0
235,Validación QA,Desarrollo,Media,0,2024-06-05,,4,0
236,Ajustes post-despliegue,Desarrollo,Alta,1,2024-08-01,2024-08-10,4,0
237,Revisión de código,Diseño,Baja,0,2024-06-12,,4,0
238,Migración de datos,Soporte,Media,1,2024-06-02,2024-06-04,4,0
239,Análisis de requisitos,Implementación,Alta,1,2024-06-11,2024-06-16,4,0
240,Mantenimiento,Testing,Media,1,2024-07-06,2024-07-17,4,0
241,CI/CD,Implementación,Media,1,2024-06-11,2024-06-13,4,0
242,Integración BD,Testing,Media,1,2024-06-16,2024-06-19,4,0
243,Análisis de requisitos,Soporte,Baja,1,2024-06-09,2024-06-13,4,0
244,Seguridad,Testing,Alta,1,2024-07-17,2024-07-23,4,0
245,Implementación API,Testing,Media,1,2024-07-12,2024-07-20,4,0
246,Seguridad,Desarrollo,Media,0,2024-07-18,,4,0
247,Soporte post-implementación,Desarrollo,Baja,1,2024-06-25,2024-06-26,4,0
248,CI/CD,Desarrollo,Baja,1,2024-06-27,2024-06-29,4,0
249,Implementación API,Testing,Media,1,2024-06-20,2024-06-25,4,0
250,Revisión de sprint,Mantenimiento,Media,0,2024-08-23,,4,0
251,Análisis de requisitos,Implementación,Alta,1,2024-07-27,2024-07-27,4,0
252,Config. infraestructura,Diseño,Alta,1,2024-07-08,2024-07-26,4,0
253,Ajustes post-despliegue,Desarrollo,Alta,0,2024-08-23,,4,0
254,Desarrollo frontend,Documentación,Alta,1,2024-05-02,2024-05-08,4,0
255,Revisión de sprint,Desarrollo,Baja,1,2024-05-02,2024-05-08,4,0
256,Optimización de consultas,Documentación,Media,1,2024-06-17,2024-07-01,4,0
257,CI/CD,Diseño,Media,1,2024-07-07,2024-07-15,4,0
258,Ajustes post-despliegue,Documentación,Media,1,2024-04-30,2024-05-05,4,0
259,Automatización de pruebas,Mantenimiento,Alta,0,2024-05-25,,4,0
260,CI/CD,Testing,Baja,1,2024-08-02,2024-08-07,4,0
261,Validación QA,Soporte,Baja,1,2024-05-10,2024-05-10,4,0
262,Config. infraestructura,Mantenimiento,Alta,1,2024-06-01,2024-06-02,4,0
263,Seguridad,Testing,Media,1,2024-08-13,2024-08-19,4,0
264,Desarrollo frontend,Mantenimiento,Media,1,2024-08-20,2024-08-25,4,0
265,Revisión de sprint,Implementación,Media,1,2024-07-10,2024-07-17,4,0
266,Análisis de requisitos,Testing,Baja,0,2024-08-04,,4,0
267,Diseño de interfaz,Implementación,Media,1,2024-04-20,2024-04-29,4,0
268,Revisión de sprint,Implementación,Media,0,2024-05-16,,4,0
269,Integración BD,Soporte,Media,1,2024-08-15,2024-08-18,4,0
270,CI/CD,Diseño,Media,1,2024-06-12,2024-06-14,4,0
271,Automatización de pruebas,Implementación,Alta,1,2024-07-28,2024-08-03,4,0
272,Desarrollo frontend,Desarrollo,Media,0,2024-05-25,,4,0
273,Pruebas unitarias,Soporte,Alta,1,2024-08-09,2024-08-13,4,0
274,Optimización de consultas,Implementación,Baja,0,2024-06-17,,4,0
275,Mantenimiento,Desarrollo,Media,0,2024-07-26,,4,0
276,Ajustes post-despliegue,Testing,Alta,1,2024-06-14,2024-06-15,4,0
277,Desarrollo frontend,Documentación,Media,1,2024-08-14,2024-08-18,4,0
278,Revisión de código,Documentación,Baja,1,2024-08-14,2024-08-14,4,0
279,Revisión de código,Diseño,Media,1,2024-07-09,2024-07-16,4,0
280,Optimización de consultas,Desarrollo,Media,1,2024-05-14,2024-05-15,4,0
281,Despliegue QA,Mantenimiento,Media,1,2024-07-14,2024-07-14,4,0
282,Seguridad,Implementación,Media,1,2024-06-12,2024-06-18,4,0
283,Revisión de sprint,Documentación,Alta,1,2024-08-05,2024-08-09,4,0
284,Migración de datos,Mantenimiento,Media,1,2024-05-15,2024-05-15,4,0
285,Mantenimiento,Diseño,Alta,1,2024-06-27,2024-07-03,4,0
286,Documentación técnica,Mantenimiento,Baja,0,2024-07-15,,4,0
287,Pruebas de rendimiento,Soporte,Alta,0,2024-05-30,,4,0
288,Análisis de requisitos,Soporte,Alta,1,2024-08-18,2024-08-27,4,0
289,Automatización de pruebas,Diseño,Alta,1,2024-06-25,2024-06-25,4,0
290,Optimización de consultas,Soporte,Media,1,2024-04-24,2024-05-07,4,0
291,Implementación API,Documentación,Alta,0,2024-07-04,,4,0
292,Pruebas unitarias,Mantenimiento,Media,1,2024-08-16,2024-08-25,4,0
293,CI/CD,Desarrollo,Media,1,2024-05-12,2024-05-16,4,0
294,Integración BD,Documentación,Alta,1,2024-06-11,2024-06-18,4,0
295,Revisión de sprint,Soporte,Media,1,2024-06-14,2024-06-25,4,0
296,Despliegue QA,Implementación,Media,1,2024-07-05,2024-07-14,4,0
297,Pruebas unitarias,Desarrollo,Media,0,2024-06-19,,4,0
298,Integración BD,Implementación,Baja,1,2024-08-04,2024-08-05,4,0
299,Desarrollo backend,Mantenimiento,Media,0,2024-07-14,,4,0
300,Desarrollo frontend,Soporte,Media,1,2024-08-29,2024-09-05,4,0
301,Automatización de pruebas,Desarrollo,Media,1,2024-06-12,2024-06-20,4,0
302,Pruebas funcionales,Soporte,Media,1,2024-06-16,2024-06-20,4,0
303,Control de calidad,Implementación,Media,1,2024-04-18,2024-04-26,4,0
304,Soporte post-implementación,Testing,Media,1,2024-06-13,2024-06-14,4,0
305,Config. infraestructura,Diseño,Alta,0,2024-07-09,,4,0
306,Control de calidad,Desarrollo,Media,1,2024-08-06,2024-08-08,4,0
307,Desarrollo frontend,Implementación,Media,1,2024-05-17,2024-05-18,4,0
308,Implementación API,Mantenimiento,Media,1,2024-07-30,2024-07-30,4,0
309,Revisión de sprint,Mantenimiento,Media,1,2024-08-21,2024-08-27,4,0
310,CI/CD,Testing,Media,1,2024-08-15,2024-08-23,4,0
311,Config. infraestructura,Implementación,Media,1,2024-09-08,2024-09-14,4,0
312,Revisión de sprint,Soporte,Alta,1,2024-07-27,2024-08-05,4,0
313,Implementación API,Documentación,Media,0,2024-04-27,,4,0
314,Validación QA,Documentación,Media,0,2024-06-28,,4,0
315,Validación QA,Diseño,Alta,0,2024-04-24,,4,0
316,Diseño de interfaz,Mantenimiento,Baja,1,2024-07-10,2024-07-13,4,0
317,Desarrollo backend,Soporte,Media,1,2024-05-12,2024-05-18,4,0
318,Integración BD,Soporte,Media,0,2024-06-14,,4,0
319,CI/CD,Documentación,Media,1,2024-05-19,2024-05-19,4,0
320,Optimización de consultas,Soporte,Alta,1,2024-07-30,2024-07-30,4,0
321,CI/CD,Desarrollo,Baja,1,2024-08-09,2024-08-19,4,0
322,Desarrollo backend,Testing,Media,0,2024-06-20,,4,0
323,Validación QA,Implementación,Media,1,2024-07-05,2024-07-13,4,0
324,Config. infraestructura,Implementación,Media,1,2024-06-08,2024-06-12,4,0
325,Pruebas funcionales,Soporte,Baja,0,2024-06-13,,4,0
326,Seguridad,Testing,Media,0,2024-05-17,,4,0
327,Config. infraestructura,Implementación,Media,1,2024-05-17,2024-05-22,4,0
328,Optimización de consultas,Soporte,Media,1,2024-05-27,2024-05-27,4,0
329,Integración BD,Diseño,Alta,1,2024-05-17,2024-05-21,4,0
330,Automatización de pruebas,Soporte,Baja,0,2024-06-12,,4,0
331,Automatización de pruebas,Diseño,Alta,1,2024-07-08,2024-07-09,4,0
332,Automatización de pruebas,Diseño,Baja,1,2024-08-21,2024-08-27,4,0
333,Mantenimiento,Soporte,Baja,0,2024-07-15,,4,0
334,Revisión de sprint,Diseño,Baja,0,2024-07-28,,4,0
335,Pruebas funcionales,Diseño,Alta,1,2024-08-09,2024-08-16,4,0
336,Desarrollo backend,Soporte,Media,0,2024-06-09,,4,0
337,Documentación técnica,Soporte,Media,1,2024-08-07,2024-08-18,4,0
338,Mantenimiento,Soporte,Alta,0,2024-06-26,,4,0
339,Control de calidad,Implementación,Media,0,2024-08-19,,4,0
340,Análisis de requisitos,Mantenimiento,Alta,1,2024-08-29,2024-09-02,4,0
341,Config. infraestructura,Documentación,Media,1,2024-05-15,2024-05-15,4,0
342,Desarrollo backend,Desarrollo,Alta,1,2024-08-18,2024-08-23,4,0
343,Mantenimiento,Desarrollo,Baja,1,2024-06-21,2024-06-25,4,0
344,Pruebas unitarias,Mantenimiento,Media,1,2025-08-12,2025-08-21,5,0
345,Análisis de requisitos,Documentación,Media,1,2025-08-26,2025-08-26,5,0
346,Ajustes post-despliegue,Diseño,Alta,1,2025-09-11,2025-09-16,5,0
347,Diseño de interfaz,Mantenimiento,Media,1,2025-09-20,2025-09-25,5,0
348,Pruebas de rendimiento,Documentación,Media,1,2025-10-19,2025-10-19,5,0
349,Optimización de consultas,Desarrollo,Media,1,2025-10-02,2025-10-06,5,0
350,Seguridad,Documentación,Alta,1,2025-11-11,2025-11-18,5,0
351,Análisis de requisitos,Soporte,Alta,1,2025-08-15,2025-08-21,5,0
352,Análisis de requisitos,Desarrollo,Media,1,2025-10-21,2025-10-25,5,0
353,Automatización de pruebas,Testing,Alta,1,2025-08-20,2025-08-27,5,0
354,Despliegue QA,Testing,Baja,1,2025-11-25,2025-11-25,5,0
355,Pruebas de rendimiento,Documentación,Alta,1,2025-09-21,2025-10-01,5,0
356,Mantenimiento,Desarrollo,Baja,1,2025-07-17,2025-07-23,5,0
357,Migración de datos,Desarrollo,Media,1,2025-09-02,2025-09-02,5,0
358,Config. infraestructura,Desarrollo,Media,1,2025-12-12,2025-11-25,5,0
359,Soporte post-implementación,Testing,Alta,1,2025-09-19,2025-09-22,5,0
360,Diseño de interfaz,Diseño,Media,1,2025-10-08,2025-10-12,5,0
361,Soporte post-implementación,Desarrollo,Media,1,2025-12-04,2025-11-25,5,0
362,CI/CD,Implementación,Baja,1,2025-07-27,2025-07-28,5,0
363,Seguridad,Diseño,Baja,1,2025-09-06,2025-09-19,5,0
364,Implementación API,Soporte,Baja,1,2025-08-06,2025-08-18,5,0
365,Documentación técnica,Desarrollo,Media,1,2025-09-29,2025-09-29,5,0
366,Migración de datos,Soporte,Baja,1,2025-12-12,2025-11-25,5,0
367,Mantenimiento,Desarrollo,Baja,1,2025-09-28,2025-10-02,5,0
368,Soporte post-implementación,Soporte,Alta,1,2025-09-03,2025-09-08,5,0
369,Mantenimiento,Soporte,Media,1,2025-09-12,2025-09-18,5,0
